Title,Artist,Genre,Year,BPM,Energy,Danceability,Length,Popularity
Too Good,Drake,canadian hip hop,2016,118,65,79,263,74
Roses,The Chainsmokers,electropop,2016,100,80,71,227,74
Cold Water (feat. Justin Bieber & M?,Major Lazer,dance pop,2016,93,80,61,185,73
Me Too,Meghan Trainor,dance pop,2016,124,69,93,181,73
Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,dance pop,2016,108,88,75,166,73
Ain't Your Mama,Jennifer Lopez,dance pop,2016,120,68,76,218,72
Close,Nick Jonas,dance pop,2016,124,62,65,234,72
Toothbrush,DNCE,dance pop,2016,105,79,55,232,72
All We Know,The Chainsmokers,electropop,2016,90,59,66,194,72
Final Song,M0,dance pop,2016,105,67,70,236,72
Company,Justin Bieber,canadian pop,2016,95,80,59,208,72
Hands To Myself,Selena Gomez,dance pop,2016,111,50,81,201,71
All I Ask,Adele,british soul,2016,142,28,59,272,71
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,dance pop,2016,163,70,63,215,71
NO,Meghan Trainor,dance pop,2016,92,80,56,214,70
Kill Em With Kindness,Selena Gomez,dance pop,2016,120,88,76,218,70
Cool Girl,Tove Lo,dance pop,2016,102,69,67,199,69
Runnin' (Lose It All),Naughty Boy,tropical house,2016,139,85,32,213,69
Here,Alessia Cara,canadian contemporary r&b,2016,120,82,38,199,68
Perfect Illusion,Lady Gaga,dance pop,2016,125,86,61,182,67
PILLOWTALK,ZAYN,dance pop,2016,125,70,59,204,66
Out Of The Woods,Taylor Swift,pop,2016,92,84,55,236,66
Rise,Katy Perry,dance pop,2016,101,64,55,203,66
Wherever I Go,OneRepublic,dance pop,2016,100,69,55,170,66
Body Say,Demi Lovato,dance pop,2016,87,74,63,194,65
Don't Be A Fool,Shawn Mendes,canadian pop,2016,175,34,47,216,65
LIKE I WOULD,ZAYN,dance pop,2016,113,83,56,192,65
Cheap Thrills,Sia,australian dance,2016,90,80,59,225,64
I Got You,Bebe Rexha,dance pop,2016,98,89,61,192,64
Run Away With Me,Carly Rae Jepsen,canadian pop,2016,119,72,56,251,63
Cruel (feat. ZAYN),Snakehips,dance pop,2016,110,88,60,228,63
Send My Love (To Your New Lover),Adele,british soul,2016,164,52,69,223,61
WTF (Where They From),Missy Elliott,dance pop,2016,120,82,93,193,58
Desire,Years & Years,dance pop,2016,126,78,71,203,58
When We Were Young,Adele,british soul,2016,144,59,38,291,58
I Know What You Did Last Summer,Shawn Mendes,canadian pop,2016,114,77,68,224,57
Wish That You Were Here - From 揗iss Peregrine抯 Home for Peculiar Children?Original Motion Picture,Florence + The Machine,art pop,2016,94,57,37,403,57
Hurts,Emeli Sande,dance pop,2016,106,64,58,238,57
Change,Christina Aguilera,dance pop,2016,82,54,62,187,54
Make Me... (feat. G-Eazy),Britney Spears,dance pop,2016,123,70,70,231,53
Keeping Your Head Up,Birdy,neo mellow,2016,122,78,60,208,52
True Colors,Zedd,complextro,2016,126,79,57,225,51
Make Me Like You,Gwen Stefani,dance pop,2016,118,71,74,217,50
Champagne Problems,Nick Jonas,dance pop,2016,108,78,73,193,50
Blown,DNCE,dance pop,2016,130,95,63,197,48
Start,John Legend,neo mellow,2016,110,4,52,310,47
Pep Rally,Missy Elliott,dance pop,2016,90,75,83,263,47
Higher,Carly Rae Jepsen,canadian pop,2016,114,87,65,234,46
Invitation,Britney Spears,dance pop,2016,112,65,37,200,44
One Call Away (feat. Tyga) - Remix,Charlie Puth,dance pop,2016,91,69,75,192,41
Beautiful Birds (feat. Birdy),Passenger,folk-pop,2016,86,17,39,214,36
Little Lies,Hilary Duff,dance pop,2016,124,76,57,204,36
Do You Wanna Come Over?,Britney Spears,dance pop,2016,121,70,75,203,34
BURNITUP!,Janet Jackson,dance pop,2016,123,71,83,250,31
Picky - Remix,Joey Montana,latin,2016,186,81,70,225,29
Behind Your Back,Nelly Furtado,canadian latin,2016,98,47,80,228,18
Million Years Ago,Adele,british soul,2016,0,0,0,227,0
Shape of You,Ed Sheeran,pop,2017,96,65,83,234,87
Closer,The Chainsmokers,electropop,2017,95,52,75,245,86
Starboy,The Weeknd,canadian contemporary r&b,2017,186,59,68,230,85
Treat You Better,Shawn Mendes,canadian pop,2017,83,82,44,188,84
That's What I Like,Bruno Mars,pop,2017,134,56,85,207,83
Let Me Love You,DJ Snake,electronic trap,2017,100,72,65,206,82
I Feel It Coming,The Weeknd,canadian contemporary r&b,2017,93,82,77,269,81
Mercy,Shawn Mendes,canadian pop,2017,148,66,56,209,81
Side To Side,Ariana Grande,dance pop,2017,159,74,65,226,80
Stay,Zedd,complextro,2017,102,62,69,210,80
It Ain't Me (with Selena Gomez),Kygo,edm,2017,100,53,64,221,79
Malibu,Miley Cyrus,dance pop,2017,140,78,57,232,78
Something Just Like This,The Chainsmokers,electropop,2017,103,65,61,248,78
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop,2017,102,76,72,251,78
I Don抰 Wanna Live Forever (Fifty Shades Darker),ZAYN,dance pop,2017,118,45,74,245,78
My Way,Calvin Harris,dance pop,2017,120,91,82,219,78
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,dance pop,2017,81,67,61,289,77
Praying,Kesha,dance pop,2017,73,39,58,230,77
Despacito - Remix,Luis Fonsi,latin,2017,178,82,65,229,76
The Greatest,Sia,australian dance,2017,192,73,67,210,76
There for You,Martin Garrix,big room,2017,106,64,61,222,76
Paris,The Chainsmokers,electropop,2017,100,64,65,222,76
Crying in the Club,Camila Cabello,dance pop,2017,85,62,33,216,75
Mama,Jonas Blue,dance pop,2017,104,79,74,184,75
Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2017,104,80,74,231,75
Swish Swish,Katy Perry,dance pop,2017,120,71,84,243,73
Chained To The Rhythm,Katy Perry,dance pop,2017,190,80,45,238,72
Cold (feat. Future),Maroon 5,pop,2017,100,72,69,234,72
Love,Lana Del Rey,art pop,2017,99,37,53,273,72
Reggaet髇 Lento (Remix),CNCO,boy band,2017,94,91,53,189,71
All I Ask,Adele,british soul,2017,142,28,59,272,71
First Time,Kygo,edm,2017,90,59,63,194,71
The Cure,Lady Gaga,dance pop,2017,100,51,70,211,71
"How Far I'll Go - From ""Moana""",Alessia Cara,canadian contemporary r&b,2017,181,54,31,176,71
Bodak Yellow,Cardi B,pop,2017,125,72,93,224,70
Rich Love (with Seeb),OneRepublic,dance pop,2017,105,87,40,201,70
Tired,Alan Walker,electro house,2017,124,88,69,192,70
Came Here for Love,Sigala,dance pop,2017,125,87,71,203,70
24K Magic,Bruno Mars,pop,2017,107,80,82,226,69
Strip That Down (feat. Quavo),Liam Payne,dance pop,2017,106,50,87,202,69
Cut To The Feeling,Carly Rae Jepsen,canadian pop,2017,115,91,71,208,69
OK - Spotify Version,Robin Schulz,dance pop,2017,122,81,65,189,69
Bon app閠it,Katy Perry,dance pop,2017,106,79,80,228,68
Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,art pop,2017,135,57,76,261,67
Get Low (with Liam Payne),Zedd,complextro,2017,108,93,72,205,66
Kissing Strangers,DNCE,dance pop,2017,120,74,77,202,66
Slow Hands,Niall Horan,dance pop,2017,86,42,74,188,64
Younger Now,Miley Cyrus,dance pop,2017,122,87,55,249,62
Body Moves,DNCE,dance pop,2017,102,69,65,236,62
Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,belgian edm,2017,122,64,73,158,59
Angel,Fifth Harmony,dance pop,2017,124,53,74,189,59
Touch (feat. Kid Ink),Little Mix,dance pop,2017,102,75,64,203,59
We Don't Talk Anymore - DROELOE Remix,Charlie Puth,dance pop,2017,100,82,70,218,59
Love Incredible (feat. Camila Cabello),Cashmere Cat,downtempo,2017,167,50,37,180,59
No Vacancy (with Sebasti醤 Yatra),OneRepublic,dance pop,2017,100,76,69,223,57
Rich Boy,Galantis,big room,2017,110,90,74,184,55
Lust for Life (with The Weeknd),Lana Del Rey,art pop,2017,100,67,51,264,54
Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,dance pop,2017,115,83,70,245,54
Influence,Tove Lo,dance pop,2017,105,59,77,225,54
Remember I Told You,Nick Jonas,dance pop,2017,113,53,68,202,53
Messin' Around,Pitbull,dance pop,2017,158,81,57,223,51
Water Under the Bridge,Adele,british soul,2017,95,84,60,240,49
Free Me,Sia,australian dance,2017,87,46,27,286,44
Kissing Strangers - Remix,DNCE,dance pop,2017,120,77,76,202,43
A L I E N S,Coldplay,permanent wave,2017,148,88,43,282,41
One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,215,86
Havana (feat. Young Thug),Camila Cabello,dance pop,2018,105,52,77,217,85
I Like It,Cardi B,pop,2018,136,73,82,253,85
New Rules,Dua Lipa,dance pop,2018,116,70,76,209,84
There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2018,122,81,87,199,84
no tears left to cry,Ariana Grande,dance pop,2018,122,71,70,206,84
IDGAF,Dua Lipa,dance pop,2018,97,54,84,218,84
In My Blood,Shawn Mendes,canadian pop,2018,140,71,62,211,83
Wolves,Selena Gomez,dance pop,2018,125,80,72,198,83
Dusk Till Dawn - Radio Edit,ZAYN,dance pop,2018,180,44,26,239,83
Attention,Charlie Puth,dance pop,2018,100,61,78,209,83
Electricity (with Dua Lipa),Silk City,edm,2018,118,67,59,238,82
Love On The Brain,Rihanna,barbadian pop,2018,172,64,51,224,82
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop,2018,103,71,66,175,82
Silence,Marshmello,brostep,2018,142,76,52,181,82
Sorry Not Sorry,Demi Lovato,dance pop,2018,144,64,71,204,81
Shallow - Radio Edit,Lady Gaga,dance pop,2018,96,33,57,217,80
These Days,Rudimental,dance pop,2018,92,81,65,211,80
What Lovers Do (feat. SZA),Maroon 5,pop,2018,110,60,80,200,79
Finesse - Remix; feat. Cardi B,Bruno Mars,pop,2018,105,86,70,217,78
Perfect Duet (Ed Sheeran & Beyonc?,Ed Sheeran,pop,2018,95,30,59,260,78
Bad At Love,Halsey,dance pop,2018,118,75,68,181,78
Him & I (with Halsey),G-Eazy,hip hop,2018,88,73,59,269,78
Friends (with BloodPop?,Justin Bieber,canadian pop,2018,105,73,74,189,77
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,dance pop,2018,98,67,67,204,76
My My My!,Troye Sivan,dance pop,2018,103,46,70,205,76
Capital Letters,Hailee Steinfeld,dance pop,2018,100,81,66,219,76
Sick Boy,The Chainsmokers,electropop,2018,90,58,66,193,76
Tequila,Dan + Shay,contemporary country,2018,86,59,47,196,76
Look What You Made Me Do,Taylor Swift,pop,2018,128,71,77,212,75
Youth (feat. Khalid),Shawn Mendes,canadian pop,2018,100,60,53,191,75
Bad Liar,Selena Gomez,dance pop,2018,121,41,97,215,75
Anywhere,Rita Ora,dance pop,2018,107,80,63,215,74
Say Something,Justin Timberlake,dance pop,2018,97,63,71,279,74
Chun-Li,Nicki Minaj,dance pop,2018,129,73,69,192,73
Sign of the Times,Harry Styles,dance pop,2018,120,57,52,341,72
Familiar,Liam Payne,dance pop,2018,93,81,64,197,72
Let Me,ZAYN,dance pop,2018,168,57,46,185,72
Supernova,Ansel Elgort,dance pop,2018,140,62,77,191,72
Nervous,Shawn Mendes,canadian pop,2018,122,62,84,164,71
First Time,Kygo,edm,2018,90,59,63,194,71
End Game,Taylor Swift,pop,2018,159,59,65,245,70
Mi Gente (feat. Beyonc?,J Balvin,latin,2018,105,72,76,210,68
Lemon,N.E.R.D,hip hop,2018,95,73,92,220,68
For You (With Rita Ora),Liam Payne,dance pop,2018,113,80,54,243,67
Want To,Dua Lipa,dance pop,2018,92,69,57,212,67
What I Need (feat. Kehlani),Hayley Kiyoko,dance pop,2018,104,79,63,220,67
Wait,Maroon 5,pop,2018,126,60,66,191,67
What About Us,P!nk,dance pop,2018,114,59,39,272,66
Kissing Strangers,DNCE,dance pop,2018,120,74,77,202,66
2U (feat. Justin Bieber),David Guetta,dance pop,2018,145,61,53,195,65
Walk On Water (feat. Beyonc?,Eminem,detroit hip hop,2018,82,44,48,304,65
This Town,Niall Horan,dance pop,2018,112,41,68,233,64
"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,dance pop,2018,94,69,73,221,64
MOVE TO MIAMI,Enrique Iglesias,dance pop,2018,100,87,76,169,64
Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,downtempo,2018,100,64,75,186,64
Filthy,Justin Timberlake,dance pop,2018,97,58,75,294,62
Never Be the Same - Radio Edit,Camila Cabello,dance pop,2018,130,69,63,227,57
Ferrari,Bebe Rexha,dance pop,2018,77,48,58,213,57
Supplies,Justin Timberlake,dance pop,2018,120,55,79,226,57
Boom Boom,RedOne,moroccan pop,2018,110,76,75,248,53
...Ready For It? - BloodPop?Remix,Taylor Swift,pop,2018,160,84,58,190,52
Drip (feat. Migos),Cardi B,pop,2018,130,59,97,264,45
Tell Me You Love Me - NOTD Remix,Demi Lovato,dance pop,2018,102,77,58,182,44
Memories,Maroon 5,pop,2019,91,32,76,189,99
Lose You To Love Me,Selena Gomez,dance pop,2019,102,34,51,206,97
Someone You Loved,Lewis Capaldi,pop,2019,110,41,50,182,96
Se駉rita,Shawn Mendes,canadian pop,2019,117,54,76,191,95
How Do You Sleep?,Sam Smith,pop,2019,111,68,48,202,93
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop,2019,98,62,86,204,92
Trampoline (with ZAYN),SHAED,electropop,2019,127,46,62,184,92
Happier,Marshmello,brostep,2019,100,79,69,214,90
Truth Hurts,Lizzo,escape room,2019,158,62,72,173,90
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,escape room,2019,96,89,67,159,90
Higher Love,Kygo,edm,2019,104,68,69,228,88
Only Human,Jonas Brothers,boy band,2019,94,50,80,183,87
Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,93,65,64,198,86
Sucker,Jonas Brothers,boy band,2019,138,73,84,181,86
Don't Call Me Up,Mabel,dance pop,2019,99,88,67,178,86
I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,102,68,80,220,85
Talk (feat. Disclosure),Khalid,alternative r&b,2019,136,40,90,198,84
Giant (with Rag'n'Bone Man),Calvin Harris,dance pop,2019,122,89,81,229,84
Takeaway,The Chainsmokers,electropop,2019,100,51,53,210,83
All Around The World (La La La),R3HAB,big room,2019,125,86,73,148,82
Girls Like You (feat. Cardi B),Maroon 5,pop,2019,125,54,85,236,81
Call You Mine,The Chainsmokers,electropop,2019,104,70,59,218,81
No Guidance (feat. Drake),Chris Brown,dance pop,2019,93,45,70,261,81
Antisocial (with Travis Scott),Ed Sheeran,pop,2019,152,82,72,162,78
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,electronic trap,2019,96,80,84,213,77
Con Calma - Remix,Daddy Yankee,latin,2019,94,87,74,181,76
Find U Again (feat. Camila Cabello),Mark Ronson,dance pop,2019,104,66,61,176,75
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,2019,95,79,75,206,75
"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,dance pop,2019,136,76,53,260,70
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,2019,114,79,60,217,69
Kills You Slowly,The Chainsmokers,electropop,2019,150,44,70,213,67
