Title,Artist,Genre,Year,BPM,Energy,Danceability,Length,Popularity
Cheers (Drink To That),Rihanna,barbadian pop,2011,80,91,58,262,58
S&M Remix,Rihanna,barbadian pop,2011,128,81,82,257,54
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2011,91,95,64,220,52
Jar of Hearts,Christina Perri,dance pop,2011,75,35,35,247,50
Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2011,80,86,45,329,49
Turning Page,Sleeping At Last,acoustic pop,2011,125,38,30,255,46
Super Bass,Nicki Minaj,dance pop,2011,127,74,77,201,38
Raise Your Glass,P!nk,dance pop,2011,122,64,68,208,38
Invading My Mind,Jennifer Lopez,dance pop,2011,129,88,73,201,31
Moment 4 Life - Album Version (Edited),Nicki Minaj,dance pop,2011,130,88,50,279,28
Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2011,126,81,65,231,27
Firework,Katy Perry,dance pop,2011,124,83,64,228,25
Muny - Album Version (Edited),Nicki Minaj,dance pop,2011,98,72,80,227,7
Titanium (feat. Sia),David Guetta,dance pop,2012,126,79,60,245,80
Locked Out of Heaven,Bruno Mars,pop,2012,144,70,73,233,79
Paradise,Coldplay,permanent wave,2012,140,59,45,279,79
Payphone,Maroon 5,pop,2012,110,75,74,231,79
What Makes You Beautiful,One Direction,boy band,2012,125,79,73,200,78
I Knew You Were Trouble.,Taylor Swift,pop,2012,77,47,62,220,77
Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,120,58,78,193,76
Love You Like A Love Song,Selena Gomez & The Scene,dance pop,2012,117,68,86,188,76
Set Fire to the Rain,Adele,british soul,2012,108,68,61,242,76
We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,86,68,63,193,75
Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2012,116,94,56,222,74
Try,P!nk,dance pop,2012,104,63,67,248,74
Starships,Nicki Minaj,dance pop,2012,125,72,75,211,73
One More Night,Maroon 5,pop,2012,93,82,72,220,73
Good Time,Owl City,pop,2012,126,87,56,206,73
Glad You Came,The Wanted,boy band,2012,127,85,72,198,72
Beauty And A Beat,Justin Bieber,canadian pop,2012,128,84,60,228,72
International Love,Pitbull,dance pop,2012,120,86,67,227,72
Some Nights,fun.,baroque pop,2012,108,74,67,277,72
Boyfriend,Justin Bieber,canadian pop,2012,97,55,72,171,71
Part Of Me,Katy Perry,dance pop,2012,130,92,68,216,71
Domino,Jessie J,australian pop,2012,127,55,76,232,69
Where Have You Been,Rihanna,barbadian pop,2012,128,85,72,243,68
Wide Awake,Katy Perry,dance pop,2012,160,68,51,221,68
The One That Got Away,Katy Perry,dance pop,2012,134,80,69,227,67
Dance Again,Jennifer Lopez,dance pop,2012,128,86,79,237,66
Turn Up the Music,Chris Brown,dance pop,2012,130,84,59,228,65
Lights - Single Version,Ellie Goulding,dance pop,2012,120,80,68,211,65
We Are Young (feat. Janelle Mon醗),fun.,baroque pop,2012,184,64,38,251,63
Diamonds,Rihanna,barbadian pop,2012,92,71,56,225,61
Don't Stop the Party (feat. TJR),Pitbull,dance pop,2012,127,96,72,206,59
You Da One,Rihanna,barbadian pop,2012,127,72,70,200,57
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2012,90,80,65,211,54
It Will Rain,Bruno Mars,pop,2012,150,84,58,258,38
Blow Me (One Last Kiss),P!nk,dance pop,2012,114,92,60,256,0
Underneath the Tree,Kelly Clarkson,dance pop,2013,160,81,51,230,88
Wake Me Up,Avicii,big room,2013,124,78,53,247,85
